movie_id,title_of_movie,my_rating,link_of_movie,Watch_Date,Release_Year
boxd.it,Doctor Strange in the Multiverse of Madness,2.5,https://boxd.it/gaTc,2022-05-16,2022
boxd.it,Spider-Man: No Way Home,,https://boxd.it/nwRw,2022-05-16,2021
boxd.it,American Psycho,4.0,https://boxd.it/28Vs,2022-05-16,2000
boxd.it,Doctor Strange,,https://boxd.it/8MH8,2022-05-16,2016
boxd.it,Fight Club,4.5,https://boxd.it/2a9q,2022-05-16,1999
boxd.it,Parasite,4.5,https://boxd.it/hTha,2022-05-16,2019
boxd.it,Requiem for a Dream,4.5,https://boxd.it/29VI,2022-05-16,2000
boxd.it,Black Swan,4.5,https://boxd.it/Sw0,2022-05-16,2010
boxd.it,K-PAX,4.0,https://boxd.it/2aYo,2022-05-16,2001
boxd.it,Interstellar,4.0,https://boxd.it/4VZ8,2022-05-16,2014
boxd.it,Thor: Ragnarok,,https://boxd.it/8MHi,2022-05-16,2017
boxd.it,Good Will Hunting,3.5,https://boxd.it/2ahY,2022-05-16,1997
boxd.it,The Departed,4.0,https://boxd.it/28MA,2022-05-16,2006
boxd.it,The Adjustment Bureau,2.5,https://boxd.it/16T8,2022-05-16,2011
boxd.it,The Dark Knight,4.0,https://boxd.it/2b0k,2022-05-16,2008
boxd.it,Eyes Wide Shut,5.0,https://boxd.it/2axs,2022-05-16,1999
boxd.it,Full Metal Jacket,4.0,https://boxd.it/2a1Q,2022-05-16,1987
boxd.it,Barry Lyndon,,https://boxd.it/25A2,2022-05-16,1975
boxd.it,Dead Poets Society,5.0,https://boxd.it/2aSg,2022-05-16,1989
boxd.it,The Breakfast Club,3.5,https://boxd.it/27q4,2022-05-16,1985
boxd.it,Joker,3.5,https://boxd.it/h4cS,2022-05-16,2019
boxd.it,Avengers: Infinity War,,https://boxd.it/9vEe,2022-05-16,2018
boxd.it,Avengers: Endgame,,https://boxd.it/9vE4,2022-05-16,2019
boxd.it,Se7en,4.5,https://boxd.it/29zs,2022-05-16,1995
boxd.it,The Social Network,3.5,https://boxd.it/17ue,2022-05-16,2010
boxd.it,No Country for Old Men,4.5,https://boxd.it/21ew,2022-05-16,2007
boxd.it,Nightcrawler,4.0,https://boxd.it/780m,2022-05-16,2014
boxd.it,Nocturnal Animals,4.0,https://boxd.it/bkFu,2022-05-16,2016
boxd.it,Memento,4.0,https://boxd.it/2bcK,2022-05-16,2000
boxd.it,The Handmaiden,4.5,https://boxd.it/948A,2022-05-18,2016
boxd.it,21,3.0,https://boxd.it/20BO,2022-05-18,2008
boxd.it,Whiplash,3.5,https://boxd.it/7bQA,2022-05-18,2014
boxd.it,Batman Begins,3.5,https://boxd.it/2aIg,2022-05-18,2005
boxd.it,The Dark Knight Rises,3.5,https://boxd.it/H3m,2022-05-18,2012
boxd.it,Django Unchained,3.5,https://boxd.it/2cCk,2022-05-18,2012
boxd.it,Spider-Man 3,2.5,https://boxd.it/2a7Y,2022-05-18,2007
boxd.it,The Shining,4.5,https://boxd.it/29Nu,2022-05-18,1980
boxd.it,Star Wars: Episode III – Revenge of the Sith,3.0,https://boxd.it/27US,2022-05-18,2005
boxd.it,Persona,5.0,https://boxd.it/29B4,2022-05-18,1966
boxd.it,Primer,5.0,https://boxd.it/6YA,2022-05-18,2004
boxd.it,Mulholland Drive,5.0,https://boxd.it/297o,2022-05-18,2001
boxd.it,About Time,4.5,https://boxd.it/43bI,2022-05-18,2013
boxd.it,The Theory of Everything,3.5,https://boxd.it/7YtA,2022-05-18,2014
boxd.it,Awakenings,4.0,https://boxd.it/1USu,2022-05-18,1990
boxd.it,Hunt for the Wilderpeople,4.0,https://boxd.it/cTgG,2022-05-18,2016
boxd.it,The Boy in the Striped Pyjamas,4.0,https://boxd.it/1NOK,2022-05-18,2008
boxd.it,Brokeback Mountain,3.5,https://boxd.it/2b2q,2022-05-18,2005
boxd.it,1917,4.0,https://boxd.it/jj4y,2022-05-18,2019
boxd.it,Dunkirk,4.0,https://boxd.it/d0Y6,2022-05-18,2017
boxd.it,Arrival,4.0,https://boxd.it/aNGk,2022-05-18,2016
boxd.it,The Intouchables,3.5,https://boxd.it/2FT0,2022-05-18,2011
boxd.it,Her,4.0,https://boxd.it/4O24,2022-05-18,2013
boxd.it,Jojo Rabbit,3.5,https://boxd.it/iEBG,2022-05-18,2019
boxd.it,When Harry Met Sally...,5.0,https://boxd.it/29W2,2022-05-18,1989
boxd.it,Life Is Beautiful,4.0,https://boxd.it/29Wm,2022-05-18,1997
boxd.it,The Pursuit of Happyness,4.0,https://boxd.it/28PE,2022-05-18,2006
boxd.it,Celeste & Jesse Forever,3.5,https://boxd.it/2XOi,2022-05-18,2012
boxd.it,Stay,4.0,https://boxd.it/20BE,2022-05-18,2005
boxd.it,Fractured,1.5,https://boxd.it/kPL2,2022-05-18,2019
boxd.it,Inside Man,3.5,https://boxd.it/2auS,2022-05-18,2006
boxd.it,The Usual Suspects,4.0,https://boxd.it/29XE,2022-05-18,1995
boxd.it,The Prestige,5.0,https://boxd.it/293w,2022-05-18,2006
boxd.it,Inception,4.5,https://boxd.it/1skk,2022-05-18,2010
boxd.it,Predestination,3.5,https://boxd.it/6bJM,2022-05-18,2014
boxd.it,Million Dollar Baby,3.5,https://boxd.it/2bdI,2022-05-18,2004
boxd.it,Birdman or (The Unexpected Virtue of Ignorance),4.0,https://boxd.it/5RFA,2022-05-18,2014
boxd.it,Avatar,3.0,https://boxd.it/1Efm,2022-05-18,2009
boxd.it,Free Guy,3.0,https://boxd.it/k8dm,2022-05-18,2021
boxd.it,The Trial of the Chicago 7,4.0,https://boxd.it/kn3w,2022-05-18,2020
boxd.it,Star Wars: The Rise of Skywalker,2.5,https://boxd.it/5xlK,2022-05-18,2019
boxd.it,The Platform,3.0,https://boxd.it/mUm6,2022-05-18,2019
boxd.it,Spider-Man: Far From Home,2.5,https://boxd.it/fegG,2022-05-18,2019
boxd.it,Captain Marvel,,https://boxd.it/9vSA,2022-05-18,2019
boxd.it,Black Mirror: Bandersnatch,,https://boxd.it/kTDG,2022-05-18,2018
boxd.it,Spider-Man: Into the Spider-Verse,,https://boxd.it/azpY,2022-05-18,2018
boxd.it,Bohemian Rhapsody,3.0,https://boxd.it/f1TK,2022-05-18,2018
boxd.it,Venom,2.0,https://boxd.it/b8wA,2022-05-18,2018
boxd.it,Green Book,4.0,https://boxd.it/hErk,2022-05-18,2018
boxd.it,Ant-Man and the Wasp,,https://boxd.it/cqUW,2022-05-18,2018
boxd.it,Incredibles 2,,https://boxd.it/7IPg,2022-05-18,2018
boxd.it,Deadpool 2,,https://boxd.it/dlLM,2022-05-18,2018
boxd.it,Ready Player One,3.5,https://boxd.it/aZes,2022-05-18,2018
boxd.it,Black Panther,,https://boxd.it/8MHs,2022-05-18,2018
boxd.it,Star Wars: The Last Jedi,,https://boxd.it/5xme,2022-05-18,2017
boxd.it,Kingsman: The Golden Circle,2.5,https://boxd.it/buJm,2022-05-18,2017
boxd.it,It,3.0,https://boxd.it/bC8e,2022-05-18,2017
boxd.it,Spider-Man: Homecoming,,https://boxd.it/aboM,2022-05-18,2017
boxd.it,Pirates of the Caribbean: Dead Men Tell No Tales,,https://boxd.it/5a9m,2022-05-18,2017
boxd.it,Guardians of the Galaxy Vol. 2,,https://boxd.it/8MxC,2022-05-18,2017
boxd.it,Baby Driver,3.5,https://boxd.it/bhF2,2022-05-18,2017
boxd.it,Logan,3.5,https://boxd.it/7Piy,2022-05-18,2017
boxd.it,Fantastic Beasts and Where to Find Them,,https://boxd.it/7FPC,2022-05-18,2016
boxd.it,Suicide Squad,0.5,https://boxd.it/9row,2022-05-18,2016
boxd.it,Captain America: Civil War,,https://boxd.it/89Ja,2022-05-18,2016
boxd.it,Batman v Superman: Dawn of Justice,0.5,https://boxd.it/6fBW,2022-05-18,2016
boxd.it,Deadpool,,https://boxd.it/9fOC,2022-05-18,2016
boxd.it,The Revenant,3.5,https://boxd.it/8H5e,2022-05-18,2015
boxd.it,Star Wars: The Force Awakens,,https://boxd.it/4vru,2022-05-18,2015
boxd.it,The Big Short,3.5,https://boxd.it/ajZw,2022-05-18,2015
boxd.it,Hotel Transylvania 2,,https://boxd.it/4ZLk,2022-05-18,2015
boxd.it,Ant-Man,,https://boxd.it/3vmW,2022-05-18,2015
boxd.it,Minions,,https://boxd.it/6jCO,2022-05-18,2015
boxd.it,Avengers: Age of Ultron,,https://boxd.it/3qi6,2022-05-18,2015
boxd.it,Kingsman: The Secret Service,3.5,https://boxd.it/6dxe,2022-05-18,2014
boxd.it,The Hunger Games: Mockingjay – Part 1,,https://boxd.it/4hka,2022-05-18,2014
boxd.it,The Imitation Game,4.0,https://boxd.it/6aig,2022-05-18,2014
boxd.it,Guardians of the Galaxy,,https://boxd.it/3VH2,2022-05-18,2014
boxd.it,The Amazing Spider-Man 2,,https://boxd.it/3utM,2022-05-18,2014
boxd.it,Captain America: The Winter Soldier,,https://boxd.it/3r58,2022-05-18,2014
boxd.it,The Wolverine,,https://boxd.it/2CWU,2022-05-18,2013
boxd.it,Man of Steel,,https://boxd.it/FRk,2022-05-18,2013
boxd.it,CM101MMXI Fundamentals,,https://boxd.it/52TQ,2022-05-18,2013
boxd.it,Rise of the Guardians,4.0,https://boxd.it/2PXw,2022-05-18,2012
boxd.it,Hotel Transylvania,,https://boxd.it/2DF6,2022-05-18,2012
boxd.it,The Amazing Spider-Man,,https://boxd.it/27PI,2022-05-18,2012
boxd.it,The Dictator,,https://boxd.it/2DEW,2022-05-18,2012
boxd.it,The Avengers,,https://boxd.it/1xFW,2022-05-18,2012
boxd.it,In Time,2.5,https://boxd.it/FPS,2022-05-18,2011
boxd.it,Captain America: The First Avenger,,https://boxd.it/28b0,2022-05-18,2011
boxd.it,Harry Potter and the Deathly Hallows: Part 2,,https://boxd.it/1RYk,2022-05-18,2011
boxd.it,Green Lantern,,https://boxd.it/QN4,2022-05-18,2011
boxd.it,Cars 2,,https://boxd.it/H4Y,2022-05-18,2011
boxd.it,Pirates of the Caribbean: On Stranger Tides,,https://boxd.it/27Z4,2022-05-18,2011
boxd.it,Thor,,https://boxd.it/1WQU,2022-05-18,2011
boxd.it,Rio,,https://boxd.it/NKc,2022-05-18,2011
boxd.it,Harry Potter and the Deathly Hallows: Part 1,,https://boxd.it/1RYu,2022-05-18,2010
boxd.it,Scott Pilgrim vs. the World,3.0,https://boxd.it/1Aq6,2022-05-18,2010
boxd.it,Shrek Forever After,,https://boxd.it/1WRo,2022-05-18,2010
boxd.it,Iron Man 2,,https://boxd.it/1WZM,2022-05-18,2010
boxd.it,How to Train Your Dragon,,https://boxd.it/1WRy,2022-05-18,2010
boxd.it,Eyyvah Eyvah,,https://boxd.it/HGo,2022-05-18,2010
boxd.it,Veda - Atatürk,,https://boxd.it/15Cg,2022-05-18,2010
boxd.it,Shutter Island,4.0,https://boxd.it/1U82,2022-05-18,2010
boxd.it,Recep Ivedik 3,,https://boxd.it/1gnQ,2022-05-18,2010
boxd.it,Harry Potter and the Half-Blood Prince,,https://boxd.it/29FU,2022-05-18,2009
boxd.it,Hachi: A Dog's Tale,3.5,https://boxd.it/1q4a,2022-05-18,2009
boxd.it,Inglourious Basterds,4.0,https://boxd.it/1JzG,2022-05-18,2009
boxd.it,Up,4.0,https://boxd.it/1OEc,2022-05-18,2009
boxd.it,Recep Ivedik 2,,https://boxd.it/1jWY,2022-05-18,2009
boxd.it,Yes Man,3.5,https://boxd.it/1WPW,2022-05-18,2008
boxd.it,A.R.O.G,,https://boxd.it/1xGg,2022-05-18,2008
boxd.it,Cars of the Revolution,,https://boxd.it/ypy,2022-05-18,2008
boxd.it,WALL·E,,https://boxd.it/1VEo,2022-05-18,2008
boxd.it,Kung Fu Panda,,https://boxd.it/1Yws,2022-05-18,2008
boxd.it,Iron Man,,https://boxd.it/28dA,2022-05-18,2008
boxd.it,Recep Ivedik,,https://boxd.it/1jX8,2022-05-18,2008
boxd.it,Bee Movie,,https://boxd.it/22Vw,2022-05-18,2007
boxd.it,Harry Potter and the Order of the Phoenix,,https://boxd.it/29Qe,2022-05-18,2007
boxd.it,The Truman Show,4.0,https://boxd.it/18U8,2022-05-18,1998
boxd.it,The Lego Movie,,https://boxd.it/4pDO,2022-05-19,2014
boxd.it,Fantastic Four: Rise of the Silver Surfer,,https://boxd.it/27Ii,2022-05-19,2007
